Date,Symbol,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Quarter,Year
2023-12-31,CZMWF,0.0,0.292,501877000.0,290396000.0,74063000.0,883535000.0,501877000.0,427814000.0,27131000.0,15250000.0,290396000.0,290396000.0,1741176000.0,89440570.0,89440570.0,3.25,3.25,290396000.0,290396000.0,290396000.0,292009000.0,292009000.0,120555000.0,412564000.0,27131000.0,15250000.0,348124000.0,857641000.0,349278000.0,504057000.0,1205765000.0,883535000.0,2089300000.0,2089300000.0,4,2023
2022-12-31,CZMWF,0.0,0.267,482851000.0,293909000.0,69769000.0,775238000.0,482851000.0,413082000.0,55240000.0,9593000.0,293909000.0,293909000.0,1505957000.0,89440570.0,89440570.0,3.29,3.29,293909000.0,293909000.0,293909000.0,295911000.0,295911000.0,107578000.0,403489000.0,55240000.0,9593000.0,396879000.0,730719000.0,291365000.0,438060000.0,1127598000.0,775238000.0,1902836000.0,1902836000.0,4,2022
2021-12-31,CZMWF,0.0,0.299,409999000.0,236276000.0,61584000.0,679572000.0,409999000.0,348415000.0,-9460000.0,9365000.0,236276000.0,236276000.0,1273171000.0,89440570.0,89440570.0,2.64,2.64,236276000.0,236276000.0,236276000.0,237519000.0,237519000.0,101531000.0,339050000.0,-9460000.0,9365000.0,373614000.0,593599000.0,232066000.0,363980000.0,967213000.0,679572000.0,1646785000.0,1646785000.0,4,2021
2020-12-31,CZMWF,0.0,0.309,267030000.0,122385000.0,60425000.0,589935000.0,267030000.0,206605000.0,-3293000.0,27888000.0,122385000.0,122385000.0,1157900000.0,89440570.0,89440570.0,1.37,1.37,122385000.0,122385000.0,122385000.0,123421000.0,123421000.0,55296000.0,178717000.0,-3293000.0,27888000.0,177552000.0,567965000.0,218804000.0,349161000.0,745517000.0,589935000.0,1335452000.0,1335452000.0,4,2020
2023-12-31,GKOS,-1050000.0,0.21,-77116000.0,-134661000.0,37978000.0,75575000.0,-82116000.0,-120094000.0,-4469000.0,13633000.0,-130711000.0,-134661000.0,438411000.0,48433000.0,48433000.0,-2.78,-2.78,-134661000.0,-134661000.0,-134661000.0,-134661000.0,-134661000.0,934000.0,-133727000.0,-4469000.0,13633000.0,-123700000.0,362836000.0,138768000.0,224068000.0,239136000.0,75575000.0,314711000.0,314711000.0,4,2023
2022-12-31,GKOS,4200000.0,0.21,-68763000.0,-99195000.0,35946000.0,68979000.0,-48763000.0,-84709000.0,-11345000.0,13720000.0,-114995000.0,-99195000.0,385175000.0,47444000.0,47444000.0,-2.09,-2.09,-99195000.0,-99195000.0,-99195000.0,-99195000.0,-99195000.0,766000.0,-98429000.0,-11345000.0,13720000.0,-102313000.0,316196000.0,123271000.0,192925000.0,213883000.0,68979000.0,282862000.0,282862000.0,4,2022
2021-12-31,GKOS,5400000.0,0.27,-21474000.0,-49593000.0,34421000.0,66627000.0,-1474000.0,-35895000.0,-12084000.0,13372000.0,-64193000.0,-49593000.0,346883000.0,46423000.0,46423000.0,-1.07,-1.07,-49593000.0,-49593000.0,-49593000.0,-49593000.0,-49593000.0,326000.0,-49267000.0,-12084000.0,13372000.0,-52872000.0,280256000.0,100999000.0,179257000.0,227384000.0,66627000.0,294011000.0,294011000.0,4,2021
2020-12-31,GKOS,0.0,0.090436,-83586000.0,-120348000.0,34613000.0,91719000.0,-83586000.0,-118199000.0,-11736000.0,14115000.0,-120348000.0,-120348000.0,348512000.0,44497000.0,44497000.0,-2.7,-2.7,-120348000.0,-120348000.0,-120348000.0,-120348000.0,-120348000.0,-11966000.0,-132314000.0,-11736000.0,14115000.0,-123553000.0,256793000.0,85392000.0,171401000.0,133240000.0,91719000.0,224959000.0,224959000.0,4,2020
2023-12-31,JNJ,-1035230000.0,0.115,32322000000.0,13326000000.0,7486000000.0,26553000000.0,23320000000.0,15834000000.0,489000000.0,772000000.0,21292770000.0,35153000000.0,61750000000.0,2560400000.0,2533500000.0,13.72,13.88,35153000000.0,35153000000.0,35153000000.0,35153000000.0,13326000000.0,1736000000.0,15062000000.0,489000000.0,772000000.0,23409000000.0,35197000000.0,15085000000.0,20112000000.0,58606000000.0,26553000000.0,85159000000.0,85159000000.0,4,2023
2022-12-31,JNJ,-547932000.0,0.154,30163000000.0,16370000000.0,6970000000.0,24596000000.0,26605000000.0,19635000000.0,214000000.0,276000000.0,19380068000.0,17941000000.0,57777000000.0,2663900000.0,2613597000.0,6.73,6.862158,17941000000.0,17941000000.0,17941000000.0,17941000000.0,16370000000.0,2989000000.0,19359000000.0,214000000.0,276000000.0,22213000000.0,33181000000.0,14135000000.0,19046000000.0,55394000000.0,24596000000.0,79990000000.0,79990000000.0,4,2022
2021-12-31,JNJ,-79848000.0,0.072,27860000000.0,17801000000.0,7390000000.0,23402000000.0,26751000000.0,19361000000.0,-130000000.0,183000000.0,18830152000.0,20878000000.0,57797000000.0,2674000000.0,2628965000.0,7.81,7.930572,20878000000.0,20878000000.0,20878000000.0,20878000000.0,17801000000.0,1377000000.0,19178000000.0,-130000000.0,183000000.0,20943000000.0,34395000000.0,14277000000.0,20118000000.0,55338000000.0,23402000000.0,78740000000.0,78740000000.0,4,2021
