Symbol,Date,Calendar Year,Period,Revenue Per Share,Net Income Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Cash Per Share,Book Value Per Share,Tangible Book Value Per Share,Shareholders Equity Per Share,Interest Debt Per Share,Market Cap,Enterprise Value,Pe Ratio,Price To Sales Ratio,Pocfratio,Pfcf Ratio,Pb Ratio,Ptb Ratio,Ev To Sales,Enterprise Value Over EBITDA,Ev To Operating Cash Flow,Ev To Free Cash Flow,Earnings Yield,Free Cash Flow Yield,Debt To Equity,Debt To Assets,Net Debt To EBITDA,Current Ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,Sales General And Administrative To Revenue,Research And Ddevelopement To Revenue,Intangibles To Total Assets,Capex To Operating Cash Flow,Capex To Revenue,Capex To Depreciation,Stock Based Compensation To Revenue,Graham Number,Roic,Return On Tangible Assets,Graham Net Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days Of Inventory On Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,Roe,Capex Per Share,Ticker
ALC,2023-12-31,2023,FY,20.470451486815417,1.975659229208925,3.0050752677484787,1.16262638336714,2.232509468559838,41.819505304259636,5.33674668356998,41.819505304259636,10.162480951318459,38513160000.0,42562788214.0,39.54123203285421,3.816232389906761,25.996021077545457,67.19269502017733,1.868027836093099,1.868027836093099,4.217506197544126,16.601382611820508,28.72948206613654,74.25795358448126,0.02529005669750288,0.014882570191591653,0.2332234289957046,0.16242317821364338,1.5795353226911917,2.2770161290908106,6.248677265568019,1.425051334720035,0.003214856869703758,0.12711940143737166,0.0,0.08757271283091368,0.6075536112927203,0.6131123916113337,0.09000528813778343,0.6969696964581562,0.014268823024300617,43.11582727194879,0.05804044839014415,0.08383563098737895,-10.628245593813388,3165927562,2631016115,-3341867963,25873328217,1985164418.5,835862685.5,2215106851.5,71.65971626913314,65.99349659885826,188.94808784040595,5.093517236785668,5.5308480200504295,1.9317475195001466,0.047242529887308087,1.8424488843813387,ALC
ALC,2022-12-31,2022,FY,17.739112739112738,0.6817256817256817,2.4765974765974765,0.9605209605209605,1.9943019943019944,40.042735042735046,2.0716320716320715,40.042735042735046,10.586080586080586,33685470000.0,37773470000.0,100.55364179104477,3.864342090168636,27.67910435497124,71.36752118644068,1.7119210245464245,1.7119210245464245,4.333310772054606,21.185344924284912,31.038184059161875,80.02853813559322,0.009944940652453417,0.014011976083456754,0.2575595873354678,0.17350816529151974,2.2927650028042623,1.8666427030913013,5.014925373134329,3.6328358208955223,0.0030660323575713803,0.3083007194029851,0.0,0.08053229322014455,0.6388099558355301,0.6121610517666393,0.08546518297579442,0.6634016028495102,0.016060571297464726,24.783232618371464,0.01964923428473671,0.03175355450236967,-12.221713471713471,2411000000,1018000000,-4339000000,25486000000,1901500000.0,882000000.0,2004000000.0,83.28381323849948,79.17989417989419,193.9493575207861,4.382604323780795,4.609756097560975,1.8819345661450924,0.017024952990801444,1.5160765160765162,ALC
ALC,2021-12-31,2021,FY,16.920408163265307,0.7673469387755102,2.7448979591836733,0.336734693877551,3.220408163265306,39.29795918367347,3.236734693877551,39.29795918367347,9.385714285714286,42688800000.0,45592800000.0,113.5340425531915,5.148811964781088,31.738884758364318,258.72,2.216909015371832,2.216909015371832,5.4990712821131345,25.52788353863382,33.89799256505576,276.32,0.008807930885852962,0.003865182436611008,0.23260282509347735,0.15996999892853317,1.625979843225084,2.178802588996764,4.833333333333333,3.577127659574468,0.001267659901426135,0.14392255319148936,0.0,0.10155590399228079,0.6310939676417014,0.8773234200743495,0.14232300084428898,0.9680065627563577,0.016644554336027018,26.047865465209,0.02198114548296935,0.03640236228095653,-9.908163265306122,2914000000,1586000000,-3357000000,24667000000,1746000000.0,889500000.0,1771500000.0,79.85888312628151,90.5729596042869,190.47403132728772,4.570562293274532,4.029900332225914,1.9162717219589258,0.019526381387619442,2.4081632653061225,ALC
ALC,2020-12-31,2020,FY,13.973415132924336,-1.0858895705521472,1.6830265848670756,0.523517382413088,3.208588957055215,38.49079754601227,1.6768916155419222,38.49079754601227,9.447852760736197,32264220000.000004,35203220000.0,-60.76124293785311,4.721823503585541,39.20318347509114,126.03210937500002,1.7141759642970993,1.7141759642970993,5.1519420459534615,31.043403880070546,42.77426488456865,137.512578125,-0.016457859511248063,0.007934485941392663,0.23886940813941132,0.1628985507246377,2.5917107583774253,2.2085916740478297,-3.8870967741935485,-1.5499058380414312,0.0,0.0,0.0,0.09849260939558027,0.6522463768115943,0.6889428918590522,0.08297965754427045,0.34935304990757854,0.015366603248938973,30.66638226776351,-0.017285284660628505,-0.0553240258387164,-10.487730061349692,2729000000,820000000,-3791000000,24514000000,1732000000.0,854500000.0,1574500000.0,89.63412849407288,82.13203185204212,154.13819676342152,4.072109654350418,4.44406392694064,2.3680048661800486,-0.028211667197959835,1.1595092024539877,ALC
ALC,2019-12-31,2019,FY,15.37894305612454,-1.3437115936091766,1.8844735764031135,0.49979516591560835,1.7513314215485456,39.5391233101188,0.3420729209340434,39.5391233101188,8.023351085620646,27617474000.0,30599474000.0,-42.09980792682927,3.678406233351092,30.018993478260867,113.18636885245901,1.4307348080609232,1.4307348080609232,4.075582578582845,24.95878792822186,33.260297826086955,125.40768032786885,-0.023753077489997818,0.008834986139572358,0.19706781329327047,0.1375519797504972,2.432300163132137,1.8417391304347825,-1.654867256637168,-1.4024390243902438,0.0,0.0,0.3791955247735749,0.08737346830047948,0.6919544386186947,0.7347826086956522,0.09003729355354288,0.4743859649122807,0.011054874800213107,34.574651319158136,-0.015990564586645366,-0.0770043432327738,-11.071282261368292,1936000000,167000000,-4116000000,24509000000,1720500000.0,748000000.0,1472500000.0,86.82605221097496,79.05486219448778,142.83021320852833,4.203807390817469,4.617046818727491,2.555481727574751,-0.033984354763508265,1.3846784104875052,ALC
RXST,2023-12-31,2023,FY,2.5853058491090044,-1.4107631230675763,-1.272031891001599,-1.4117499142580037,3.691237564145418,4.654229672921384,4.654229672921384,4.654229672921384,0.18342706833827935,1389230075.52,1382550075.52,-28.58027640552995,15.59583366660305,-31.697318506890575,-28.56029923769582,8.663087735997307,8.663087735997307,15.520842366940961,-30.15902612276951,-31.54490452496121,-28.422969358167837,-0.03498916475862045,-0.03501363874647827,0.018782504583380103,0.016499589153656534,0.1457179006151564,8.056594747165478,-15.14056831922612,0.9016622778143516,0.0,0.0,0.0,0.32613356983284125,0.0,-0.10983845943232637,0.05404313122354817,1.134574593448032,0.1767684138442022,12.15464317653949,-0.3066927185569996,-0.26627225417693784,3.741542147404488,147504000,160362000,146219000,160789000,15618500.0,3229000.0,16128000.0,83.10298954836827,39.929627322156776,180.0709390575442,4.392140427000641,9.141082060574682,2.026978933471098,-0.3031142041131939,0.13971802325640453,RXST
RXST,2022-12-31,2022,FY,1.7715650310234459,-2.4132760985818007,-2.127468668007954,-2.2139772920103846,3.8248163128730255,3.250020190165694,3.250020190165694,3.250020190165694,1.8054020857941415,350477311.94,383638311.94,-5.2501245122535805,7.151868420365269,-5.955434357519116,-5.7227325888672995,3.8984373199706344,3.8984373199706344,7.828554472808897,-6.207639228167829,-6.518917789974512,-6.2641985523243475,-0.19047167313194954,-0.17474169629126948,0.5004894218148651,0.29963906129298634,-0.5365770780408085,7.806172767883043,-12.801860088960776,0.881568697944754,0.0,0.0,0.0,0.5301703907764513,0.0,-0.04066270178419711,0.04883175186205489,0.594977623073098,0.23256810529537802,13.284273070393834,-0.46944363212036755,-0.4445539543432514,2.211500969091803,117318000,89902000,74293000,131399000,7909000.0,2142000.0,11433500.0,81.6026936026936,34.22245908154786,195.64168804422445,4.47289156626506,10.665510597302506,1.865655544320863,-0.7425418789348401,0.08650862400243048,RXST
RXST,2021-12-31,2021,FY,0.8255639892298485,-1.779093502749651,-1.6336615248301716,-1.7045504788914254,5.822102488911177,5.051459168729815,5.051459168729815,5.051459168729815,1.7763529504019222,307875892.5,328445892.5,-6.3234450480611235,13.627047868808923,-6.886371398854791,-6.5999805457897445,2.227079270409861,2.227079270409861,14.537506860532023,-6.228469696395047,-7.34646802585667,-7.040942644915109,-0.15814164468885789,-0.15151559812368226,0.32501699917535914,0.23314013522138222,-0.3900783190791345,15.915410309650628,-14.336501901140684,0.9182550115018074,0.0,0.0,0.0,1.0843624131368124,0.0,-0.043392681399302135,0.08586730403222237,0.4864593781344032,0.3352808391979817,14.219982742467668,-0.28822847765977,-0.252634637636791,4.111394902411854,165218000,138242000,121816000,180719000,3863500.0,1411500.0,8160000.0,78.54778028592928,34.10516707236114,162.18632440805487,4.646853146853147,10.70219064535228,2.2504980079681274,-0.352193978675077,0.07088895406125376,RXST
RXST,2020-12-31,2020,FY,0.5313604576230623,0.9982466697748973,-1.2743890305017482,-1.3663037465328802,2.4969742175058403,-10.770891510841539,-10.770891510841539,-10.770891510841539,1.1317203042793413,441974928.0,458732928.0,16.028102556663644,30.111386292410412,-12.555035877624066,-11.710426792432834,-1.4854852064840738,-1.4854852064840738,31.25309497206704,-14.869786969205835,-13.03107485157515,-12.154441418048858,0.06239041686093108,-0.08539398415830501,-0.10335799199405772,0.3054520893550662,-0.5432090761750406,7.025862068965517,-69.42156862745098,-1.2766273798730734,0.0,0.0,0.0,1.4943452786483171,0.0,-0.07212453484078062,0.17297997002316393,0.632851445663011,0.28512058863605394,15.553782436343136,0.13244007412843475,0.2738957259354172,-11.690735543261404,69900000,-297529000,-316706000,88506000,1827000.0,1666500.0,7753500.0,71.24437934323478,31.905496030216604,233.1858475294843,5.123211169284468,11.440035273368606,1.5652750965250966,-0.09268004127328765,0.09191471603113198,RXST
RXST,2019-12-31,2019,FY,0.08112677377934886,4.56930896315458,-1.470454450755632,-1.6183723435099469,2.9202742468685914,-11.027268044489619,-11.027268044489619,-11.027268044489619,0.2006267649643692,441974928.0,439532928.0,3.5016235778798923,197.22219009370818,-10.88098988158251,-9.886476412034447,-1.4509486788067405,-1.4509486788067405,196.13249799196788,-10.891929622837885,-10.820870233142125,-9.831851649703612,0.2855818101971612,-0.10114827146937168,-0.018108341458450285,0.04994929006085193,0.060514447142786344,10.665602459501006,-1771.923076923077,-0.32181112343527174,0.0,0.0,0.0,13.194556001784917,0.0,-0.10059331839779413,1.823293172690763,1.0396946564885496,2.0517626059794734,33.67057143980298,0.15400204524441694,1.1429658070124602,-11.952668953203608,81742000,-304611000,-324844000,100992000,,,,128.5073627844712,197.6933497536946,648.9987684729065,2.840304182509506,1.846293769895407,0.5624047652029367,-0.4143645501968084,0.1479178927543148,RXST
